date,value
01/04/2020,709
01/05/2020,995
01/06/2020,1328
01/07/2020,1342
01/08/2020,1348
01/09/2020,1356
01/10/2020,1360
01/11/2020,1390
01/12/2020,1469
01/01/2021,1750
01/02/2021,1893
01/03/2021,1937
01/04/2021,1943
